epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,351.13,2.12054,3.1031,1.81529,0.25716,0.25473,0.17824,0.06507,2.11319,2.84319,1.94562,0.00041625,0.00041625,0.00041625
2,688.126,2.05691,2.55319,1.77103,0.3226,0.27996,0.22028,0.08616,2.09751,2.53374,1.87515,0.000791687,0.000791687,0.000791687
3,1023.32,2.02979,2.44815,1.75017,0.34677,0.28848,0.23998,0.09526,2.05532,2.37963,1.83963,0.00112587,0.00112587,0.00112587
4,1353.47,1.98116,2.36062,1.71857,0.45462,0.29793,0.27219,0.11372,1.97197,2.33228,1.77638,0.00106437,0.00106437,0.00106437
5,1683.93,1.94129,2.27858,1.68205,0.38746,0.34857,0.2957,0.12325,1.96941,2.25579,1.76406,0.0010025,0.0010025,0.0010025
6,2014.37,1.90154,2.20623,1.65724,0.41816,0.36605,0.32655,0.14129,1.88711,2.15488,1.68552,0.000940625,0.000940625,0.000940625
7,2346.06,1.87142,2.17167,1.63634,0.43661,0.38644,0.3557,0.15831,1.87652,2.07448,1.66899,0.00087875,0.00087875,0.00087875
8,2672.46,1.84489,2.11723,1.61974,0.46478,0.39191,0.37226,0.16402,1.84799,2.03056,1.63872,0.000816875,0.000816875,0.000816875
9,2999.99,1.82271,2.08004,1.59684,0.4453,0.40868,0.38696,0.17294,1.85973,2.00619,1.64953,0.000755,0.000755,0.000755
10,3326.32,1.81541,2.03549,1.58524,0.48484,0.40834,0.40053,0.18316,1.79463,1.93948,1.61365,0.000693125,0.000693125,0.000693125
11,3636.03,1.80462,1.97719,1.6327,0.52177,0.41851,0.42746,0.19562,1.79847,1.88458,1.62373,0.00063125,0.00063125,0.00063125
12,3943.94,1.78209,1.93618,1.61468,0.52662,0.44225,0.44446,0.20382,1.78394,1.85271,1.60626,0.000569375,0.000569375,0.000569375
13,4257.69,1.76398,1.88691,1.60552,0.53539,0.44153,0.45237,0.21304,1.75119,1.82277,1.59322,0.0005075,0.0005075,0.0005075
14,4570.41,1.74913,1.85373,1.59732,0.55348,0.45425,0.46871,0.2245,1.75279,1.77755,1.58179,0.000445625,0.000445625,0.000445625
15,4878.81,1.72653,1.81435,1.58235,0.54013,0.46883,0.47953,0.22999,1.74584,1.7538,1.56886,0.00038375,0.00038375,0.00038375
16,5186.51,1.70822,1.7805,1.56064,0.57075,0.46521,0.48791,0.23648,1.73154,1.73042,1.56845,0.000321875,0.000321875,0.000321875
17,5494.73,1.69475,1.75446,1.55163,0.55469,0.47628,0.49077,0.24112,1.71497,1.70887,1.55295,0.00026,0.00026,0.00026
18,5802.95,1.67602,1.71175,1.53811,0.56221,0.47754,0.5001,0.24716,1.71215,1.68136,1.5431,0.000198125,0.000198125,0.000198125
19,6110.94,1.66078,1.67601,1.52249,0.58045,0.48762,0.51123,0.2507,1.70621,1.66832,1.52884,0.00013625,0.00013625,0.00013625
20,6417.84,1.64116,1.65057,1.50749,0.58776,0.48822,0.51386,0.25454,1.69756,1.65526,1.52987,7.4375e-05,7.4375e-05,7.4375e-05
